model,doc_idx,category,layer,head,tokens,budget,fixed_max_rel,fixed_mean_rel,oracle_max_rel,oracle_mean_rel,oracle_mean_k,mass_max_rel,mass_mean_rel,mass_mean_k,mass_gap,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_abs_mean_k,UTC_abs_gap,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_mean_k,UTC_rel_gap,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,UTC_rel_hat_mean_k,UTC_rel_hat_gap,rel_hat_below_fixed,rel_hat_beats_abs_rel,rel_hat_beats_mass
bert-base-uncased,68,alt.atheism,5,1,128,32,0.08436156072585323,0.009401818786904437,0.007639708272762185,0.0072318362195156645,32.0,0.017102516050633017,0.008316873466379025,32.0,0.8766608537814367,0.025526380846774478,0.010186850946721917,32.0,0.7668633902583558,0.009721238416891924,0.007423197295953883,32.0,0.9728691360078614,0.009721238416891924,0.007418092104144304,32.0,0.9728691360078614,False,True,True
bert-base-uncased,68,alt.atheism,5,2,128,8,1.0627448399236454,0.7108500220814787,0.7556925708100195,0.7169224351564822,8.0,1.1977612744144324,0.7507503985154377,8.0,-0.4397180808353628,1.1977612744144324,0.7655224133467504,8.0,-0.4397180808353628,1.8751940420930033,0.7904106081004156,8.0,-2.6459638435979373,0.892670524179017,0.7132988532695186,8.0,0.5538936945021947,False,True,True
bert-base-uncased,68,alt.atheism,5,2,128,16,0.8401079877115171,0.5145136222505832,0.5321978708070009,0.5147502266672958,16.0,1.196398103150278,0.5565447697521633,16.0,-1.1571237704711321,1.196398103150278,0.5635182415263716,16.0,-1.1571237704711321,0.8680920080630016,0.5336047824606138,16.0,-0.09088373137204332,0.65970922487765,0.5119834921348776,16.0,0.5858812456292535,False,True,True
bert-base-uncased,68,alt.atheism,5,2,128,32,0.5841194270146626,0.30764460662536997,0.3099494778029268,0.3021849356220603,32.0,0.9947381026015956,0.3329255038975798,32.0,-1.4976793655449843,1.0731324688594035,0.34390611419791,32.0,-1.7836128403229425,0.37913628916845427,0.30608408109844776,32.0,0.7476499099757431,0.3832424255918334,0.301986917942218,32.0,0.7326732999016461,False,False,True
bert-base-uncased,68,alt.atheism,5,3,128,8,0.7862497068875792,0.2309600735658267,0.2490565682427592,0.2241423219851224,8.0,0.8723220538755333,0.2686021749612411,8.0,-0.1602260728889599,1.025040160958593,0.3375831561986797,8.0,-0.4445150857164926,0.3540534704883723,0.23475970185058304,8.0,0.8045453400419645,0.38153102530477395,0.23099376243302128,8.0,0.7533951059088194,False,False,True
bert-base-uncased,68,alt.atheism,5,3,128,16,0.46795035959242254,0.10930607663902289,0.10861616245791533,0.101707540338103,16.0,0.44410545078567426,0.11498927554036653,16.0,0.06635858484079257,0.8723220538755333,0.14218608861142598,16.0,-1.1253359616417054,0.1499232283739314,0.10531775646160124,16.0,0.8850455474446428,0.1667368161860019,0.10422899395737631,16.0,0.8382545992238789,False,False,True
bert-base-uncased,68,alt.atheism,5,3,128,32,0.22856258059987006,0.03739942940180865,0.033568532957217616,0.03215998477075559,32.0,0.14041557021289816,0.03614889001500402,32.0,0.4520497494801009,0.21563155696708805,0.04367033137527014,32.0,0.0663149659649073,0.052712545286542116,0.032754435109227625,32.0,0.9018225809415067,0.052712545286542116,0.032660684200580645,32.0,0.9018225809415067,False,True,True
bert-base-uncased,68,alt.atheism,5,4,128,8,1.411233838633895,0.5567959162187902,0.5765766697910647,0.5428301628857747,8.0,1.521463326366662,0.5761983577002344,8.0,-0.1320655855452476,1.223953043354227,0.6359526191796521,8.0,0.2243805028827756,0.8814400046988012,0.5695131661969728,8.0,0.6347442443579566,0.9025722056721878,0.5544767869790599,8.0,0.6094258240984335,False,False,True
bert-base-uncased,68,alt.atheism,5,4,128,16,0.9655819080752305,0.34854737000419145,0.35664509752143,0.3408248139148468,16.0,1.0807761507802007,0.35266160358743714,16.0,-0.18917273633073078,1.1320349551979096,0.37423162007772404,16.0,-0.27335027910580356,0.4842598398526911,0.34913222437682323,16.0,0.7904302382127281,0.5410375889864334,0.34609050060093205,16.0,0.6971894484465363,False,False,True
bert-base-uncased,68,alt.atheism,5,4,128,32,0.5317012176938597,0.18015066768904725,0.1786952694170647,0.17373091774297839,32.0,0.5699562228737708,0.17820113057529557,32.0,-0.10836929339761442,0.856906928672927,0.18085259139997018,32.0,-0.9212471137287201,0.22462942867056598,0.1762190642729653,32.0,0.8698770956191255,0.22462942867056598,0.17624243058577083,32.0,0.8698770956191255,False,True,True
