model,doc_idx,category,layer,tokens,budget,eval_positions,anchor_max_dP,dense_max_logit_diff,dense_mean_logit_diff,fixed_mean_k,fixed_mean_kl,fixed_mean_kl_improvement,fixed_max_kl,fixed_max_kl_improvement,fixed_mean_logit_l2,fixed_mean_logit_l2_improvement,fixed_max_logit_l2,fixed_max_logit_l2_improvement,projected_oracle_mean_k,projected_oracle_mean_kl,projected_oracle_mean_kl_improvement,projected_oracle_max_kl,projected_oracle_max_kl_improvement,projected_oracle_mean_logit_l2,projected_oracle_mean_logit_l2_improvement,projected_oracle_max_logit_l2,projected_oracle_max_logit_l2_improvement,mass_mean_k,mass_mean_kl,mass_mean_kl_improvement,mass_max_kl,mass_max_kl_improvement,mass_mean_logit_l2,mass_mean_logit_l2_improvement,mass_max_logit_l2,mass_max_logit_l2_improvement,UTC_abs_mean_k,UTC_abs_mean_kl,UTC_abs_mean_kl_improvement,UTC_abs_max_kl,UTC_abs_max_kl_improvement,UTC_abs_mean_logit_l2,UTC_abs_mean_logit_l2_improvement,UTC_abs_max_logit_l2,UTC_abs_max_logit_l2_improvement,UTC_rel_mean_k,UTC_rel_mean_kl,UTC_rel_mean_kl_improvement,UTC_rel_max_kl,UTC_rel_max_kl_improvement,UTC_rel_mean_logit_l2,UTC_rel_mean_logit_l2_improvement,UTC_rel_max_logit_l2,UTC_rel_max_logit_l2_improvement,UTC_rel_hat_mean_k,UTC_rel_hat_mean_kl,UTC_rel_hat_mean_kl_improvement,UTC_rel_hat_max_kl,UTC_rel_hat_max_kl_improvement,UTC_rel_hat_mean_logit_l2,UTC_rel_hat_mean_logit_l2_improvement,UTC_rel_hat_max_logit_l2,UTC_rel_hat_max_logit_l2_improvement
gpt2,93,comp.os.ms-windows.misc,0,128,16,63,1.0351464824198686e-06,0.0004730224609375,2.667916487553157e-05,16.0,0.04956716299057007,0.0,0.6505120992660522,0.0,1267.2109375,0.0,15819.328125,0.0,16.0,0.06509945541620255,-0.31335851173462204,1.382758617401123,-1.1256462700097911,1143.0885009765625,0.09794930966135029,11808.6494140625,0.2535302813903483,16.0,0.06863121688365936,-0.38461055147973955,0.9184912443161011,-0.4119510541808513,1618.7913818359375,-0.2774442943410418,18697.626953125,-0.18194823480374578,16.0,0.04709066450595856,0.04996248191736641,0.633107602596283,0.026755069874036308,1244.058349609375,0.018270508252005158,13282.1884765625,0.16038226329144434,16.0,0.04777291789650917,0.03619826082041944,0.49170637130737305,0.24412417253707286,1498.5145263671875,-0.18252966575833995,16853.791015625,-0.06539234046167808,16.0,0.04398561269044876,0.11260580520178598,0.45858410000801086,0.29504139811478736,1261.0997314453125,0.004822564163424858,13441.4921875,0.15031206880033032
gpt2,93,comp.os.ms-windows.misc,0,128,32,63,1.0351464824198686e-06,0.0004730224609375,2.667916487553157e-05,32.0,0.013843959197402,0.0,0.14041069149971008,0.0,714.5271606445312,0.0,5019.67919921875,0.0,32.0,0.00851208996027708,0.3851404905993594,0.07940540462732315,0.4344775046742997,576.0010375976562,0.19387103902659075,5676.154296875,-0.13078028925801122,32.0,0.02005903050303459,-0.4489374186250803,0.3597732186317444,-1.562292192916714,678.207763671875,0.05082997396473321,7330.01708984375,-0.4602560838916907,32.0,0.009688561782240868,0.30015961156118887,0.11989184468984604,0.14613450436504982,505.7787780761719,0.2921489819646047,5026.32373046875,-0.0013236963929954548,32.0,0.00892544724047184,0.3552821766372428,0.08869572728872299,0.36831215385826843,522.162353515625,0.2692197270085377,5743.3271484375,-0.14416219055022017,32.0,0.008447100408375263,0.38983492453802726,0.0873621478676796,0.3778098595301058,517.8290405273438,0.2752843152102967,5839.814453125,-0.16338399753392485
gpt2,93,comp.os.ms-windows.misc,5,128,8,63,4.541143218128596e-07,0.000152587890625,1.4740514416189399e-05,8.0,0.003670385340228677,0.0,0.0384899266064167,0.0,244.10784912109375,0.0,2281.72021484375,0.0,8.0,0.0038187385071069,-0.04041896235041653,0.035299621522426605,0.08288675415292268,288.4060363769531,-0.18146973731223426,2268.520751953125,0.005784873537410862,8.0,0.0038471464067697525,-0.04815872181149872,0.021636877208948135,0.43785610634702987,246.35435485839844,-0.009202922992411766,2205.208984375,0.03353225779874569,8.0,0.0032750836107879877,0.10770033465098261,0.021406643092632294,0.44383777834838567,245.90628051757812,-0.007367364068626259,1471.63525390625,0.3550325564315403,8.0,0.004255778156220913,-0.1594908331765963,0.029999960213899612,0.22057632063922195,241.19900512695312,0.01191622475317311,2078.3857421875,0.08911455108889155,8.0,0.004199060145765543,-0.14403795692577837,0.03697236627340317,0.03942746756915194,237.82174682617188,0.025751332116336623,1917.7430419921875,0.1595187571568617
gpt2,93,comp.os.ms-windows.misc,5,128,16,63,4.541143218128596e-07,0.000152587890625,1.4740514416189399e-05,16.0,0.0013113057939335704,0.0,0.007080692332237959,0.0,176.21035766601562,0.0,2789.686767578125,0.0,16.0,0.001629301463253796,-0.2425030612930663,0.01812736690044403,-1.5601122107666279,191.89524841308594,-0.08901230866802412,1567.0517578125,0.4382696380020683,16.0,0.0014950432814657688,-0.14011795599639232,0.006485077552497387,0.08411815565390046,201.48812866210938,-0.14345224271097923,1300.153564453125,0.5339428140952694,16.0,0.0013220609398558736,-0.008201859529683553,0.005727688781917095,0.19108351088222286,190.78102111816406,-0.08268902943699419,2099.23974609375,0.24749983744009674,16.0,0.0013496994506567717,-0.029278949960276135,0.005065426230430603,0.2846142731879442,172.44097900390625,0.021391356966959596,992.72998046875,0.6441428507292266,16.0,0.0013291070936247706,-0.013575246730056056,0.005229572765529156,0.26143200125795174,178.77825927734375,-0.014572932291501584,1639.411376953125,0.4123313785596133
gpt2,93,comp.os.ms-windows.misc,5,128,32,63,4.541143218128596e-07,0.000152587890625,1.4740514416189399e-05,32.0,0.0003517654549796134,0.0,0.0016318601556122303,0.0,117.30473327636719,0.0,1893.657470703125,0.0,32.0,0.00045345729449763894,-0.2890898980512997,0.0017038671066984534,-0.04412568738723088,124.62324523925781,-0.06238888882384974,1192.5152587890625,0.3702582028489686,32.0,0.00047898865886963904,-0.36167054521427877,0.0017805998213589191,-0.09114731138887677,129.95181274414062,-0.10781388878807818,1074.5987548828125,0.43252738601991825,32.0,0.0004204158904030919,-0.19515968510170256,0.0015132250264286995,0.07269932339209673,127.90592193603516,-0.09037306819232782,1438.5830078125,0.24031508862141449,32.0,0.0004436140588950366,-0.26110751529238785,0.0014753657160326838,0.09589941824447201,123.1796875,-0.05008284030441934,1483.6578369140625,0.21651203564118038,32.0,0.000451478932518512,-0.28346580406730815,0.0015088082291185856,0.07540592621889153,121.91302490234375,-0.039284788407638604,1420.943115234375,0.24963033852855587
gpt2,93,comp.os.ms-windows.misc,11,128,8,63,5.15406632428661e-07,9.1552734375e-05,6.871659934404306e-06,8.0,0.01755245216190815,0.0,0.07996023446321487,0.0,1379.1761474609375,0.0,7399.701171875,0.0,8.0,0.040123794227838516,-1.2859366803980854,0.3102765381336212,-2.8803855468478106,1055.53759765625,0.23466077948092845,4480.205078125,0.3945424316385242,8.0,0.022894026711583138,-0.30432070119906807,0.1626279652118683,-1.0338605345971579,1446.5499267578125,-0.04885074282999313,6765.66943359375,0.08568342471600021,8.0,0.019135192036628723,-0.09017200902306932,0.10847187042236328,-0.35657269079500975,1129.6180419921875,0.18094723138026014,4549.2841796875,0.385207040930443,8.0,0.02092387154698372,-0.19207683085968652,0.1047116369009018,-0.3095463964537726,1157.982421875,0.16038105501835642,4871.92822265625,0.34160473382714196,8.0,0.018487760797142982,-0.05328649391021356,0.09381286799907684,-0.17324403347309802,1053.8519287109375,0.2358830083807073,4246.79248046875,0.4260859483609848
gpt2,93,comp.os.ms-windows.misc,11,128,16,63,5.15406632428661e-07,9.1552734375e-05,6.871659934404306e-06,16.0,0.006264816503971815,0.0,0.0257149338722229,0.0,879.3895263671875,0.0,4475.83740234375,0.0,16.0,0.010497636161744595,-0.6756494232655059,0.03919944539666176,-0.5243844526858665,581.0574951171875,0.33924901571483124,2269.29638671875,0.49298953855418337,16.0,0.010864684358239174,-0.7342382416709412,0.09987477958202362,-2.8839213072955903,973.1328125,-0.10660041235659445,4890.86328125,-0.09272586146425321,16.0,0.008093890734016895,-0.29195974517138223,0.07040891796350479,-1.7380555716520831,801.9767456054688,0.08803013731754994,3314.454345703125,0.2594783840969005,16.0,0.006660743150860071,-0.06319844270574304,0.03262583538889885,-0.2687505070406211,766.1945190429688,0.12871998577448873,3337.4052734375,0.25435064471066704,16.0,0.006363001186400652,-0.01567239557081823,0.03446772322058678,-0.34037767282841735,756.4005737304688,0.13985719518947848,2979.14013671875,0.33439491453404047
gpt2,93,comp.os.ms-windows.misc,11,128,32,63,5.15406632428661e-07,9.1552734375e-05,6.871659934404306e-06,32.0,0.001602203818038106,0.0,0.00844498723745346,0.0,499.35650634765625,0.0,2103.281005859375,0.0,32.0,0.0023674843832850456,-0.47764245511786596,0.010658461600542068,-0.26210511642597445,313.7481384277344,0.3716951027182567,1100.7989501953125,0.4766277320392862,32.0,0.002060698578134179,-0.2861650652271561,0.016116196289658546,-0.9083742623296487,518.9266967773438,-0.03919081894581855,2384.58544921875,-0.1337455349882919,32.0,0.0017269318923354149,-0.07784781991721768,0.0076027303002774715,0.09973454233780077,416.05859375,0.16681050820165655,1649.1634521484375,0.21590912124715855,32.0,0.0017949133180081844,-0.12027776853387517,0.00719696469604969,0.14778264387053175,412.3060302734375,0.17432530660492385,1383.1427001953125,0.3423880611567748,32.0,0.0016929017147049308,-0.056608214039761906,0.00643538311123848,0.2379641401117104,415.893310546875,0.16714150059090938,1411.7801513671875,0.32877245245204345
gpt2,96,talk.politics.misc,0,128,8,63,9.225343453045376e-07,0.00213623046875,4.215973967802711e-05,8.0,0.18695957958698273,0.0,2.2335615158081055,0.0,2740.080322265625,0.0,42188.59375,0.0,8.0,0.28432703018188477,-0.5207941246444767,4.115572452545166,-0.8426053741600874,3727.865966796875,-0.36049514187763054,60078.140625,-0.4240375249530568,8.0,0.20784449577331543,-0.11170818971924357,2.069863796234131,0.07328999824513382,2838.64501953125,-0.035971462757751205,39670.0625,0.05969697081927505,8.0,0.22917897999286652,-0.22582100633276858,3.198268175125122,-0.4319140764600722,3693.73681640625,-0.34803961270452755,58799.109375,-0.39372053317136224,8.0,0.19171077013015747,-0.025412929113719285,2.821265935897827,-0.26312434913040184,2946.456787109375,-0.07531766976564702,38768.46875,0.08106752787890681,8.0,0.19151613116264343,-0.024371853989652248,2.5624070167541504,-0.1472292115612801,3076.02978515625,-0.12260569887704831,38897.609375,0.07800649612787813
gpt2,96,talk.politics.misc,0,128,16,63,9.225343453045376e-07,0.00213623046875,4.215973967802711e-05,16.0,0.04222434014081955,0.0,0.5274529457092285,0.0,1998.7708740234375,0.0,38874.90234375,0.0,16.0,0.06140125170350075,-0.4541672291082719,0.721407949924469,-0.36772001330742965,2415.695068359375,-0.2085902890393272,41379.328125,-0.06442268996857403,16.0,0.054269712418317795,-0.2852708233527519,0.6452126502990723,-0.22326106157488734,2187.8271484375,-0.0945862664255761,41754.98046875,-0.07408579704028595,16.0,0.04473705217242241,-0.059508615723132374,0.7173293828964233,-0.3599874429213423,1949.6546630859375,0.02457320725243073,34194.265625,0.1204025331655274,16.0,0.06727693229913712,-0.5933211051911376,0.9610126614570618,-0.821987476370724,2323.24853515625,-0.16233859786022053,39878.25,-0.025809650848198418,16.0,0.05557643994688988,-0.3162180808874844,0.729803740978241,-0.3836376247684534,2207.026123046875,-0.10419165684770504,38549.5078125,0.008370298357863626
gpt2,96,talk.politics.misc,0,128,32,63,9.225343453045376e-07,0.00213623046875,4.215973967802711e-05,32.0,0.006991666741669178,0.0,0.0847708061337471,0.0,622.2125854492188,0.0,8437.0390625,0.0,32.0,0.008207974024116993,-0.17396528287008084,0.13591817021369934,-0.6033605956189034,585.273193359375,0.05936779961333416,9836.6982421875,-0.1658945951676989,32.0,0.012710035778582096,-0.8178835245153182,0.2213454246520996,-1.6111043972245818,892.7330322265625,-0.4347717373508866,16256.9326171875,-0.9268528327010457,32.0,0.005221501924097538,0.25318209276505566,0.051477279514074326,0.3927475523489057,570.8282470703125,0.08258325141689038,5560.31640625,0.3409635341189935,32.0,0.007752177305519581,-0.10877385778671145,0.09930280596017838,-0.17142693916940477,718.0989990234375,-0.15410555140891535,11580.291015625,-0.3725539172973338,32.0,0.007293026894330978,-0.04310276273120173,0.08604158461093903,-0.014990756076885159,741.7440185546875,-0.19210706421049117,9544.830078125,-0.1313009229207891
gpt2,96,talk.politics.misc,5,128,8,63,5.592142621191343e-07,0.0007476806640625,2.3838527340558358e-05,8.0,0.003695499384775758,0.0,0.06523982435464859,0.0,326.1649475097656,0.0,2298.00146484375,0.0,8.0,0.004262030590325594,-0.15330301714668337,0.08604810386896133,-0.31895057536018756,324.78363037109375,0.004235026324005964,2292.01220703125,0.0026062898149228353,8.0,0.004875986371189356,-0.3194390969937151,0.11540591716766357,-0.7689489251275161,329.2788391113281,-0.009546984203350872,1251.1793212890625,0.455535890455085,8.0,0.004513709805905819,-0.22140726758089024,0.10130049288272858,-0.5527401228435485,327.603271484375,-0.004409805485202645,1621.103271484375,0.29455951343590636,8.0,0.004910887219011784,-0.32888324626517984,0.1020837053656578,-0.5647452514697635,338.0561218261719,-0.036457548265667716,2063.5146484375,0.10203945471470521,8.0,0.004522252362221479,-0.22371887838803928,0.0994916632771492,-0.5250142725140559,309.5249328613281,0.051017176356571214,2177.421142578125,0.05247182132402328
