model,doc_idx,category,layer,head,tokens,budget,eval_positions,anchor_max_dP,fixed_mean_k,fixed_mean_kl,fixed_mean_kl_improvement,fixed_max_kl,fixed_max_kl_improvement,fixed_mean_logit_l2,fixed_mean_logit_l2_improvement,fixed_max_logit_l2,fixed_max_logit_l2_improvement,projected_oracle_mean_k,projected_oracle_mean_kl,projected_oracle_mean_kl_improvement,projected_oracle_max_kl,projected_oracle_max_kl_improvement,projected_oracle_mean_logit_l2,projected_oracle_mean_logit_l2_improvement,projected_oracle_max_logit_l2,projected_oracle_max_logit_l2_improvement,mass_mean_k,mass_mean_kl,mass_mean_kl_improvement,mass_max_kl,mass_max_kl_improvement,mass_mean_logit_l2,mass_mean_logit_l2_improvement,mass_max_logit_l2,mass_max_logit_l2_improvement,UTC_abs_mean_k,UTC_abs_mean_kl,UTC_abs_mean_kl_improvement,UTC_abs_max_kl,UTC_abs_max_kl_improvement,UTC_abs_mean_logit_l2,UTC_abs_mean_logit_l2_improvement,UTC_abs_max_logit_l2,UTC_abs_max_logit_l2_improvement,UTC_rel_mean_k,UTC_rel_mean_kl,UTC_rel_mean_kl_improvement,UTC_rel_max_kl,UTC_rel_max_kl_improvement,UTC_rel_mean_logit_l2,UTC_rel_mean_logit_l2_improvement,UTC_rel_max_logit_l2,UTC_rel_max_logit_l2_improvement,UTC_rel_hat_mean_k,UTC_rel_hat_mean_kl,UTC_rel_hat_mean_kl_improvement,UTC_rel_hat_max_kl,UTC_rel_hat_max_kl_improvement,UTC_rel_hat_mean_logit_l2,UTC_rel_hat_mean_logit_l2_improvement,UTC_rel_hat_max_logit_l2,UTC_rel_hat_max_logit_l2_improvement
gpt2,93,comp.os.ms-windows.misc,5,8,128,16,63,4.541143218128596e-07,16.0,5.443365353130503e-06,0.0,4.964426625519991e-05,0.0,15.157730102539062,0.0,131.9261016845703,0.0,16.0,4.5740994210063946e-06,0.1596927407461617,1.5074336261022836e-05,0.6963529245546277,16.383529663085938,-0.08086959935653826,250.03025817871094,-0.8952296398215618,16.0,4.465070105652558e-06,0.17972250327002637,1.357696601189673e-05,0.7265149223456469,15.063573837280273,0.006211765523059243,234.30084228515625,-0.776000649555761,16.0,4.15712838730542e-06,0.236294439631057,1.1326861567795277e-05,0.7718394807253524,15.25783920288086,-0.006604491547519187,235.69619750976562,-0.7865774437366853,16.0,4.471911324799294e-06,0.17846570371627202,1.472455096518388e-05,0.7033987592949552,14.925297737121582,0.015334246212666436,236.4913787841797,-0.7926049186962296,16.0,4.506923687586095e-06,0.1720335867233045,1.4903806004440412e-05,0.6997879689101189,14.908435821533203,0.016446676337382504,236.3568572998047,-0.7915852456925003
gpt2,93,comp.os.ms-windows.misc,5,8,128,32,63,4.541143218128596e-07,32.0,2.592343548712961e-07,0.0,3.3796131901908666e-06,0.0,2.756692409515381,0.0,39.90470504760742,0.0,32.0,1.429901175242776e-07,0.44841370428981564,1.5564455679850653e-06,0.5394604410639184,2.353827953338623,0.14614051781264215,34.2080192565918,0.14275724589918204,32.0,1.0698124697228195e-07,0.5873184052885441,1.6231201698246878e-06,0.5197319697604149,2.3401002883911133,0.15112027721565913,35.108402252197266,0.12019391672455748,32.0,1.5800830510670494e-07,0.39048084431111596,1.3609205780085176e-06,0.597314692119645,2.2360522747039795,0.18886406514353504,34.8166389465332,0.12750541809553573,32.0,1.5115527673970064e-07,0.4169164931293703,1.555369181005517e-06,0.53977893519889,2.5112884044647217,0.08902117777216956,37.1163330078125,0.06987577120212562,32.0,1.5115527673970064e-07,0.4169164931293703,1.555369181005517e-06,0.53977893519889,2.5112884044647217,0.08902117777216956,37.1163330078125,0.06987577120212562
gpt2,93,comp.os.ms-windows.misc,5,9,128,8,63,4.541143218128596e-07,8.0,0.004675471689552069,0.0,0.05784120038151741,0.0,330.87957763671875,0.0,5454.40869140625,0.0,8.0,0.004375422839075327,0.06417509727355186,0.030304240062832832,0.47607864527451516,312.7367858886719,0.054832008302326596,3136.3369140625,0.42499048173563014,8.0,0.004855395294725895,-0.03848244992604455,0.024768836796283722,0.571778652017769,311.8543395996094,0.05749897945650084,2266.971923828125,0.5843780596419414,8.0,0.004489474929869175,0.039781389351266294,0.03287597745656967,0.43161661169336885,297.88824462890625,0.09970797606624893,2862.213134765625,0.4752477680531687,8.0,0.004413773771375418,0.05597251690379135,0.030387945473194122,0.4746314863322876,304.5651550292969,0.0795286998229705,3005.703125,0.4489406102377941,8.0,0.004416507203131914,0.05538788460613364,0.034135282039642334,0.40984485428227857,305.0101013183594,0.07818396198136512,3342.6357421875,0.38716808158251426
gpt2,93,comp.os.ms-windows.misc,5,9,128,16,63,4.541143218128596e-07,16.0,0.0017761590424925089,0.0,0.00800349097698927,0.0,220.91549682617188,0.0,2930.897705078125,0.0,16.0,0.0020333135034888983,-0.1447812131933417,0.006782616022974253,0.15254280382462326,227.1680908203125,-0.028303102697501137,2579.4189453125,0.11992187893717565,16.0,0.0020923051051795483,-0.17799423087888977,0.0065870508551597595,0.17697778705591072,233.69320678710938,-0.05783980818236434,2122.10791015625,0.2759529251125181,16.0,0.0018974513513967395,-0.0682891036232991,0.0068942345678806305,0.1385965714583608,228.76483154296875,-0.03553093752844849,2516.229736328125,0.14148155632710724,16.0,0.0019017820013687015,-0.0707273143174747,0.007098722271621227,0.11304675771726747,228.73658752441406,-0.035403087653901544,2554.466064453125,0.1284356120559199,16.0,0.001869679894298315,-0.05265342211391566,0.006825070362538099,0.1472383261053497,226.97064208984375,-0.027409327777654147,2636.689208984375,0.10038170065915275
gpt2,93,comp.os.ms-windows.misc,5,9,128,32,63,4.541143218128596e-07,32.0,0.00045861228136345744,0.0,0.0014474717900156975,0.0,139.4427947998047,0.0,1778.345703125,0.0,32.0,0.0006179568590596318,-0.3474494342420178,0.002542660804465413,-0.7566220094954932,141.6309356689453,-0.01569203250897333,1297.597412109375,0.2703345531584942,32.0,0.000640006794128567,-0.3955291215181207,0.002343868836760521,-0.6192846402451146,143.00767517089844,-0.025565181594443764,1185.8338623046875,0.3331814729718302,32.0,0.000585392932407558,-0.27644408184443026,0.0020314930006861687,-0.40347674800911837,143.5985870361328,-0.029802846696342478,1322.3287353515625,0.25642762651384443,32.0,0.0006177439354360104,-0.3469851561747397,0.002375522628426552,-0.6411529708643164,143.40274047851562,-0.02839835277538838,1417.5362548828125,0.20289049964141093,32.0,0.0006280142697505653,-0.3693795287894921,0.002405516803264618,-0.6618747390154875,144.49037170410156,-0.036198190889271675,1399.1572265625,0.2132254015044266
gpt2,93,comp.os.ms-windows.misc,5,10,128,8,63,4.541143218128596e-07,8.0,0.0008001472451724112,0.0,0.003392232581973076,0.0,141.8525848388672,0.0,1417.1314697265625,0.0,8.0,0.0009823580039665103,-0.22772153487179403,0.00527407368645072,-0.55475002347365,123.63558959960938,0.12842201825191135,1372.89892578125,0.0312127314157008,8.0,0.0009390597115270793,-0.1736086291526706,0.0044313338585197926,-0.3063178161983009,140.2449493408203,0.011333142077551983,1441.1190185546875,-0.016926833776934824,8.0,0.0009193356963805854,-0.14895814730011625,0.005954813212156296,-0.7554259822281133,151.28709411621094,-0.0665092517563961,1757.524169921875,-0.24019839193959314,8.0,0.0008682883926667273,-0.08516075997941286,0.0035071433521807194,-0.03387467322208382,134.2062530517578,0.05390336591888667,1206.925537109375,0.1483319911438753,8.0,0.0008862008689902723,-0.10754723500837482,0.00430512148886919,-0.26911153195903115,134.88026428222656,0.049151875269390466,1316.68115234375,0.07088284998864258
gpt2,93,comp.os.ms-windows.misc,5,10,128,16,63,4.541143218128596e-07,16.0,0.0003088705416303128,0.0,0.001408017473295331,0.0,114.50224304199219,0.0,955.1426391601562,0.0,16.0,0.00029882261878810823,0.03253117888539503,0.0010974877513945103,0.220543940533675,93.57105255126953,0.18280157606210756,912.8851928710938,0.04424202685184164,16.0,0.0003482803294900805,-0.1275932228815051,0.0017757387831807137,-0.2611624620145985,106.74376678466797,0.06775829059068217,1105.6336669921875,-0.15755869507025255,16.0,0.000297579012112692,0.036557482814711495,0.0014048295561224222,0.0022641176216711134,103.51122283935547,0.09598956239316558,1182.256591796875,-0.23778014227949962,16.0,0.0003382809227332473,-0.09521911978946762,0.0010285060852766037,0.2695359931368728,94.10460662841797,0.17814180641067145,727.2802734375,0.23856370387046322,16.0,0.00030055406386964023,0.026925448172479216,0.000900261802598834,0.36061744994409983,99.97064971923828,0.1269109926294163,900.5562744140625,0.05714996117657445
gpt2,93,comp.os.ms-windows.misc,5,10,128,32,63,4.541143218128596e-07,32.0,8.713668648852035e-05,0.0,0.000329992501065135,0.0,66.05269622802734,0.0,568.056884765625,0.0,32.0,8.13124788692221e-05,0.06683990238790583,0.00032268825452774763,0.022134583403595642,55.146697998046875,0.1651105685728671,470.7142028808594,0.17136079941171445,32.0,9.586215310264379e-05,-0.1001353960742235,0.0004663733998313546,-0.41328484231009943,62.797569274902344,0.04928075822806144,532.5438232421875,0.06251673463669027,32.0,7.877907046349719e-05,0.09591386087562803,0.0003311391919851303,-0.003474899933465281,62.57645797729492,0.052628256668459716,611.2493896484375,-0.07603552749938647,32.0,9.636395407142118e-05,-0.10589417563079406,0.00040705851279199123,-0.2335386758126503,58.475521087646484,0.11471409303600433,466.60003662109375,0.17860332453569572,32.0,9.38046068768017e-05,-0.07652253783094909,0.0003870633663609624,-0.17294594607943092,56.513092041015625,0.14442414514131363,431.293212890625,0.24075700082647078
gpt2,93,comp.os.ms-windows.misc,5,11,128,8,63,4.541143218128596e-07,8.0,0.0002887289447244257,0.0,0.0010790715459734201,0.0,88.52861785888672,0.0,856.8432006835938,0.0,8.0,0.0006681586382910609,-1.314138054045042,0.009603866375982761,-7.900120118837167,115.79717254638672,-0.3080196590323556,1888.9156494140625,-1.2045056177222113,8.0,0.00041475126636214554,-0.43647276776493804,0.005264567211270332,-3.878793469177446,97.26444244384766,-0.09867797325025118,973.5260620117188,-0.13617761246752602,8.0,0.00034015331766568124,-0.1781060537257082,0.002830635756254196,-1.6232141574085404,89.0787582397461,-0.006214266009848757,792.76025390625,0.07478958428592075,8.0,0.0005103982985019684,-0.767742056443675,0.005117291118949652,-3.742309384437889,101.34644317626953,-0.14478736511863577,1497.6004638671875,-0.747811574710979,8.0,0.00045236977166496217,-0.5667628061908436,0.005359574221074581,-3.9668386133189717,92.57244873046875,-0.04567823342761135,1233.5548095703125,-0.4396505785261251
gpt2,93,comp.os.ms-windows.misc,5,11,128,16,63,4.541143218128596e-07,16.0,0.00012844848970416933,0.0,0.0005682194605469704,0.0,56.63261795043945,0.0,690.2840576171875,0.0,16.0,0.0003338362439535558,-1.5989892502622376,0.00710533419623971,-11.504559751262455,79.59268188476562,-0.40542120010095717,747.5833740234375,-0.08300831487263838,16.0,0.00016502998187206686,-0.2847950353651385,0.0022101199720054865,-2.889553465624032,63.53065490722656,-0.12180325060769293,433.5108947753906,0.37198188196343396,16.0,0.00012375468213576823,0.036542333656171766,0.0005238661542534828,0.07805664777970267,56.84209442138672,-0.0036988661045227467,440.41302490234375,0.3619829111762789,16.0,0.00018148295930586755,-0.41288511623486035,0.0030258705373853445,-4.325179349669983,71.04285430908203,-0.25445117814001317,696.5596313476562,-0.009091291709867333,16.0,0.00018017586262430996,-0.40270907847398063,0.003242939244955778,-4.7071949662444,68.70435333251953,-0.21315870286350425,595.6641235351562,0.13707390897691119
gpt2,93,comp.os.ms-windows.misc,5,11,128,32,63,4.541143218128596e-07,32.0,3.715491766342893e-05,0.0,0.0001493571326136589,0.0,30.093130111694336,0.0,325.28240966796875,0.0,32.0,3.9213482523337007e-05,-0.05540490974992229,0.0004081614315509796,-1.7327883470203465,45.17219161987305,-0.5010798628195514,381.91888427734375,-0.1741147781928527,32.0,3.251447560614906e-05,0.12489442445588816,0.00019891135161742568,-0.3317834115893772,33.319454193115234,-0.10721131598627331,280.1876220703125,0.13863272730820786,32.0,3.348000973346643e-05,0.09890771292381739,0.0002101095742546022,-0.4067595606437573,29.785470962524414,0.010223567572665515,231.98028564453125,0.2868342131339823,32.0,3.6746296245837584e-05,0.010997774811207561,0.0003178576589561999,-1.1281719419346392,43.72787094116211,-0.45308483294561785,400.34295654296875,-0.23075501362529227,32.0,3.727873263414949e-05,-0.003332397930259079,0.00031623273389413953,-1.1172924811842542,43.49930953979492,-0.4454896974273501,382.4418640136719,-0.17572254953487487
gpt2,93,comp.os.ms-windows.misc,11,0,128,8,63,5.15406632428661e-07,8.0,0.009583335369825363,0.0,0.03452569991350174,0.0,302.5867004394531,0.0,1559.6431884765625,0.0,8.0,0.034424133598804474,-2.592082742631993,0.32115447521209717,-8.30189615320457,361.7816162109375,-0.19562960198024015,1361.0675048828125,0.127321226458031,8.0,0.013502801768481731,-0.40898771120933786,0.09996742010116577,-1.8954494869507967,352.4373474121094,-0.16474830817169783,2077.840087890625,-0.3322534944163926,8.0,0.011119527742266655,-0.1602983004516605,0.07016120851039886,-1.032144422449822,363.0096130371094,-0.19968793245011351,2077.840087890625,-0.3322534944163926,8.0,0.012952045537531376,-0.3515175080184427,0.09996742010116577,-1.8954494869507967,310.7740173339844,-0.02705775529010568,1005.8236694335938,0.3550937311398332,8.0,0.011733826249837875,-0.224399000663555,0.1410691887140274,-3.085918288910934,346.57098388671875,-0.1453609275734402,1822.60107421875,-0.16860131066198614
gpt2,93,comp.os.ms-windows.misc,11,0,128,16,63,5.15406632428661e-07,16.0,0.003826189087703824,0.0,0.016886072233319283,0.0,180.33033752441406,0.0,1114.0201416015625,0.0,16.0,0.007816608995199203,-1.0429228185087198,0.036337755620479584,-1.1519365260548042,187.54196166992188,-0.039991186422148495,756.945068359375,0.3205283817659179,16.0,0.005567984189838171,-0.45522975007480215,0.036337755620479584,-1.1519365260548042,211.47398376464844,-0.17270331031248687,2077.840087890625,-0.8651728189612748,16.0,0.0045191626995801926,-0.18111326857926846,0.027874888852238655,-0.6507621468796305,219.06350708007812,-0.2147900907157132,1705.0201416015625,-0.5305110544503742,16.0,0.004306712653487921,-0.12558803414299335,0.027874888852238655,-0.6507621468796305,183.96397399902344,-0.020149890054508734,756.945068359375,0.3205283817659179,16.0,0.004053357057273388,-0.05937186175654796,0.027874888852238655,-0.6507621468796305,190.76431274414062,-0.05786034320661071,864.6876831054688,0.22381324105831957
gpt2,93,comp.os.ms-windows.misc,11,0,128,32,63,5.15406632428661e-07,32.0,0.0010434658033773303,0.0,0.006915517151355743,0.0,92.04759979248047,0.0,582.94091796875,0.0,32.0,0.0016931387363001704,-0.6226106603782111,0.009174104779958725,-0.32659706847234116,84.10401916503906,0.08629861772984904,390.2393798828125,0.33056787085285333,32.0,0.0013224069261923432,-0.26732176743327773,0.009705222211778164,-0.40339789481622734,119.24075317382812,-0.29542490453476344,1559.6431884765625,-1.675473860903638,32.0,0.001112970756366849,-0.06660970849696812,0.007226594723761082,-0.04498254658284706,112.42716979980469,-0.2214025140608724,979.8523559570312,-0.6808776425770797,32.0,0.001195570919662714,-0.14576914336154867,0.007226594723761082,-0.04498254658284706,91.6749496459961,0.004048450446557106,453.7789306640625,0.2215696022072885,32.0,0.0011213680263608694,-0.07465718831551271,0.007226594723761082,-0.04498254658284706,93.58272552490234,-0.016677520498989518,453.7789306640625,0.2215696022072885
gpt2,93,comp.os.ms-windows.misc,11,1,128,8,63,5.15406632428661e-07,8.0,0.00026192463701590896,0.0,0.0008464761776849627,0.0,63.124385833740234,0.0,204.08843994140625,0.0,8.0,0.00029260094743222,-0.11711884290765595,0.000978808500804007,-0.1563331923657456,64.34683990478516,-0.01936579746319711,303.5069274902344,-0.4871343402760644,8.0,0.0002704373328015208,-0.0325005539096912,0.0013542610686272383,-0.599880899579504,69.01139831542969,-0.09326051103601896,255.837890625,-0.2535638505466111,8.0,0.0002503226278349757,0.044295219087116866,0.0008807198028080165,-0.040454328220679514,66.55268859863281,-0.05431027517514697,221.76109313964844,-0.08659311229639455,8.0,0.00025894769350998104,0.011365649065487093,0.0007569578010588884,0.10575415940339761,63.648643493652344,-0.008305152644065616,250.35240173339844,-0.22668585151258225,8.0,0.00024803122505545616,0.0530435476354556,0.0007075933972373605,0.16407169405219924,62.891014099121094,0.0036970139437682015,197.3771514892578,0.03288421653904183
