model,doc_idx,category,layer,head,tokens,budget,fixed_max_rel,fixed_mean_rel,oracle_max_rel,oracle_mean_rel,oracle_mean_k,mass_max_rel,mass_mean_rel,mass_mean_k,mass_gap,UTC_abs_max_rel,UTC_abs_mean_rel,UTC_abs_mean_k,UTC_abs_gap,UTC_rel_max_rel,UTC_rel_mean_rel,UTC_rel_mean_k,UTC_rel_gap,UTC_rel_hat_max_rel,UTC_rel_hat_mean_rel,UTC_rel_hat_mean_k,UTC_rel_hat_gap,rel_hat_below_fixed,rel_hat_beats_abs_rel,rel_hat_beats_mass
gpt2,93,comp.os.ms-windows.misc,11,6,128,16,0.4701535044234838,0.3220429031071068,0.3346338801432647,0.32567275181838656,16.0,0.6256767185647404,0.3480400911209782,16.0,-1.1476065917927523,0.6256767185647404,0.34569930891747225,16.0,-1.1476065917927523,0.42334841108061594,0.3292833444810367,16.0,0.34537502292721217,0.3574197990145437,0.3252828293261755,16.0,0.8318625882243911,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,6,128,32,0.31759993389790414,0.1916317993819766,0.19322446245731165,0.189432670467804,32.0,0.4017968179081603,0.19529962471622506,32.0,-0.6769573054480642,0.3747704336060022,0.19510452298743286,32.0,-0.45966056687797446,0.21743495056595705,0.1900765793618839,32.0,0.8053435470175527,0.21266881074853114,0.19002825198174994,32.0,0.8436641239144407,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,7,128,8,0.5667276482443259,0.4139702429345759,0.4197083529942947,0.399793859865145,8.0,0.6882553310528533,0.4197182809121349,8.0,-0.826610429616392,0.6873156527205003,0.4120611247548571,8.0,-0.820218898962168,0.5253742371489594,0.4072731124242326,8.0,0.28127880102430114,0.5050077142991019,0.3993046637517806,8.0,0.4198083920907037,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,7,128,16,0.4015259678484095,0.2792039020750018,0.287104448013079,0.2787179130866135,16.0,0.5532866414606676,0.3053848738155277,16.0,-1.3263298182952317,0.5209257985741285,0.29553898955697533,16.0,-1.043508519180247,0.34390584563457494,0.2823043631617078,16.0,0.5035776687528574,0.34659298810605715,0.27798722526127106,16.0,0.48009307883175323,False,False,True
gpt2,93,comp.os.ms-windows.misc,11,7,128,32,0.25733993320670123,0.15149059423782335,0.1529385051449812,0.14917283986294713,32.0,0.35338428271987116,0.1749672585897953,32.0,-0.9199524498495406,0.34390584563457494,0.16664789652248718,32.0,-0.8291640644675633,0.17627669114716213,0.15049088445005154,32.0,0.7764572148535759,0.185871343536233,0.15026512091906752,32.0,0.6845556712904103,False,False,True
gpt2,93,comp.os.ms-windows.misc,11,8,128,8,0.5299202413971613,0.21733953267231337,0.21569584493465183,0.19150620047046907,8.0,0.5368441162327997,0.2355768027942759,8.0,-0.022034809879774832,0.45159021592946824,0.22506967005183298,8.0,0.24928053438727418,0.3806803588434375,0.22321624946795268,8.0,0.4749468349174786,0.3806803588434375,0.21855657624765212,8.0,0.4749468349174786,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,8,128,16,0.30769951975766374,0.13721918857976834,0.13698447733310673,0.12240887470066271,16.0,0.3806803588434375,0.14961622591815232,16.0,-0.42750092815063845,0.2537705230839665,0.14054852688903283,16.0,0.31590067230033175,0.2198635339622324,0.13520846287590518,16.0,0.5145181382258575,0.2198635339622324,0.13493146604441353,16.0,0.5145181382258575,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,8,128,32,0.1614894472173952,0.07016848367895583,0.06333528297135295,0.06079172111280582,32.0,0.17327019587308906,0.07348334623059663,32.0,-0.12002291238671405,0.13974284955681238,0.06940569861036405,32.0,0.22155552775194334,0.1009667867975797,0.06819052390543927,32.0,0.6166081784172074,0.10380343110643246,0.06836558737604023,32.0,0.5877082908715077,False,False,True
gpt2,93,comp.os.ms-windows.misc,11,9,128,8,0.5236290757566723,0.23287749924833304,0.2561995154585234,0.2381474970046259,8.0,0.6655393166912594,0.29478059389243816,8.0,-0.5306453062869184,0.6303515632844875,0.280436030102722,8.0,-0.3990676550820845,0.33294261608786163,0.24664831978608076,8.0,0.7130343386730331,0.33294261608786163,0.24571076413504345,8.0,0.7130343386730331,False,True,True
gpt2,93,comp.os.ms-windows.misc,11,9,128,16,0.3744722838559462,0.13419020856184272,0.142030181471759,0.13502621773118467,16.0,0.4825845220638417,0.16778478473196184,16.0,-0.4651146978063569,0.3984481726343613,0.1557845203079695,16.0,-0.10314778834166193,0.20642733042276537,0.1393579673488367,16.0,0.7229540247206642,0.20642733042276537,0.13817151096096408,16.0,0.7229540247206642,False,True,True
